"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13823","execute end to end test case","chromium","Wed Oct 29 19:38:33 IST 2025","passed","Wed Oct 29 19:38:47 IST 2025","","EndToEndTest.spec.ts","",""
"","4454","Search product exists","chromium","Wed Oct 29 19:38:40 IST 2025","passed","Wed Oct 29 19:38:45 IST 2025","","SearchProduct.spec.ts","",""
"","8102","user log out page","chromium","Wed Oct 29 19:38:33 IST 2025","passed","Wed Oct 29 19:38:41 IST 2025","","Logout.spec.ts","",""
"","3497","Logging Test with csv Data Valid login","chromium","Wed Oct 29 19:38:41 IST 2025","passed","Wed Oct 29 19:38:44 IST 2025","","LoginDDT.spec.ts","",""
"","7468","Search product exists and add to cart","chromium","Wed Oct 29 19:38:33 IST 2025","passed","Wed Oct 29 19:38:40 IST 2025","","AddToCart.spec.ts","",""
"","11165","user registeration page","chromium","Wed Oct 29 19:38:34 IST 2025","passed","Wed Oct 29 19:38:45 IST 2025","","RegisterationPage.spec.ts","",""
"","3064","Logging Test with csv Data Invalid login","chromium","Wed Oct 29 19:38:44 IST 2025","passed","Wed Oct 29 19:38:47 IST 2025","","LoginDDT.spec.ts","",""
"","2796","Logging Test with Json Data Invalid login","chromium","Wed Oct 29 19:38:38 IST 2025","passed","Wed Oct 29 19:38:41 IST 2025","","LoginDDT.spec.ts","",""
"","4876","Logging Test with Json Data Valid login","chromium","Wed Oct 29 19:38:33 IST 2025","passed","Wed Oct 29 19:38:38 IST 2025","","LoginDDT.spec.ts","",""
"","7234","user login page","chromium","Wed Oct 29 19:38:33 IST 2025","passed","Wed Oct 29 19:38:40 IST 2025","","Login.spec.ts","",""
